country,account_ownership_pct,account_ownership_female_pct,bank_branches_per_100k,gdp_per_capita_usd,gini_index,labor_force_participation_pct
Oman,69.5361597212358,67.0832725695516,16.6793084046047,20285.2272897377,,68.377
Other small states,,,9.68509602080912,16094.1266173126,,59.045145786326
Pacific island small states,,,,4453.58561280276,,64.6332242694672
Pakistan,27.2960071761925,11.9121696598431,10.8332490960739,1478.77277977996,33.5,52.335
Palau,,,,15610.8231931032,,
Panama,64.0952131164981,58.1187550543733,18.5877868584347,19161.2188501596,49.7,66.304
Papua New Guinea,,,1.37949151942594,3006.70564478923,41.9,52.07
Paraguay,60.9167610080401,60.1097092799532,10.0143470850075,6416.09708970845,44.2,70.247
Peru,59.3098978248017,56.1785669335632,4.76301978901546,8452.37167056621,40.1,72.856
Philippines,50.1824221429254,57.1016109576105,8.99353408601811,3984.8315387656,39.3,61.35
Poland,86.1367117566539,86.3296733689659,21.7698590996905,25103.565661423,28.5,58.312
Portugal,91.3973440748621,88.166050754656,29.2176592187668,29292.242104753,33.9,58.161
Post-demographic dividend,,,16.7046973608979,55644.314789934,,60.6746013214835
Pre-demographic dividend,,,3.3334139266028,1366.06577255622,,69.7201736111089
Puerto Rico (US),69.7352646205524,66.0932528622377,,39343.7154660139,,42.779
Qatar,65.8753853266331,61.5695319524117,9.36260117792122,76688.6941743178,35.1,87.013
Romania,71.3366719002898,69.8503015757801,21.1188171965908,20080.2096215595,29.8,51.331
Russian Federation,79.3421267068262,77.2673546557224,21.6437417667701,14889.0185546875,33.0,61.113
Rwanda,50.019793696102,44.9605015327419,3.13776634445974,999.65456165547,39.4,63.681
Samoa,,,30.4631820564773,5392.87761915762,38.7,42.534
San Marino,,,122.013218098627,59879.7173015651,,
Sao Tome and Principe,,,14.5315043013253,3490.56883486557,40.7,23.342
Saudi Arabia,78.8409517231945,73.461901464919,7.01718366043146,35121.6628687742,,65.098
Senegal,76.4609257473503,73.5941345823606,5.51350072873882,1773.21829923448,36.2,52.019
Serbia,83.2544458500274,81.0618186013879,23.9962341650495,13679.2065983557,32.8,59.142
Seychelles,,,38.9899016154816,17858.8226383978,32.1,
Sierra Leone,38.6205210606339,35.9347203423534,2.51712105020213,806.654650417726,35.7,53.372
Singapore,97.9718288419762,97.6078339751686,6.08536504152975,90674.066632628,,69.673
Sint Maarten (Dutch part),,,,41472.5874498583,,
Slovak Republic,92.2151184719611,91.0941403563605,19.9623685328424,25992.6748502048,23.8,60.422
Slovenia,98.7472573239817,98.9427575733679,21.452945422366,34301.0318686594,24.7,57.565
Small states,,,9.49384881082927,15383.3425638674,,59.7903535453619
Solomon Islands,,,3.75718008164131,1933.55538435227,37.1,84.296
"Somalia, Fed. Rep.",38.6603281288684,33.662557005539,,629.538899449007,,33.846
South Africa,81.1259662052011,80.9924154358395,8.71932848658405,6267.186814093,54.1,55.584
South Asia,77.5683155337322,75.0596309089595,14.466937792202,2690.07883749003,,55.6071766930875
South Asia (IDA & IBRD),,,14.466937792202,2690.07883749003,,55.6071766930875
South Sudan,5.8314074673825,,1.58110966070652,1080.14718624765,44.0,73.408
Spain,98.3807416463989,97.8029322469363,32.4296029168917,35326.7683069278,33.4,57.41
Sri Lanka,81.6921293527248,80.201889490679,17.2256876416819,4515.56787322732,37.7,48.517
St. Kitts and Nevis,,,33.7040781934614,23960.6534357084,,
St. Lucia,,,14.8384964556228,14181.6303351598,43.7,68.265
St. Martin (French part),,,,21668.3776525323,,
St. Vincent and the Grenadines,,,17.2426533980343,11501.2265187188,,67.9
Sub-Saharan Africa,55.07,49.04,4.10663919520599,1532.92763550207,,70.3022084070171
Sub-Saharan Africa (IDA & IBRD countries),,,4.10663919520599,1532.92763550207,,70.3022084070171
Sub-Saharan Africa (excluding high income),58.1823874986208,52.2979999131369,3.85775121721678,1576.69166875191,,70.531049387185
Sudan,15.2684332808943,9.98316105750736,3.36573933108886,984.607666015625,34.2,37.523
Suriname,,,10.4094830390486,6961.78955961526,39.2,53.823
Sweden,98.5654945145745,97.6051609665946,10.5388234972321,57117.4877440616,29.3,64.595
Switzerland,98.412309687795,97.6132030221954,34.1128822660207,103998.186685604,33.8,66.747
Syrian Arab Republic,23.2530858353611,19.5879996886851,4.3938675443083,1051.67149587463,26.4,36.898
Tajikistan,54.5193771390539,46.9005362710827,3.49994655487018,1341.20229027672,36.1,38.276
